formatted_date,open,high,low,close,adjclose,volume
2022-03-22,120.22000122070312,121.75,118.80999755859375,119.79000091552734,117.44039154052734,79600
2022-03-23,117.06999969482422,117.19999694824219,115.37000274658203,115.37000274658203,113.10708618164062,87100
2022-03-24,114.98999786376953,116.0,114.05999755859375,116.0,113.7247314453125,60800
2022-03-25,118.62999725341797,119.30000305175781,116.19999694824219,117.05000305175781,114.75413513183594,97200
2022-03-28,117.81999969482422,118.80000305175781,116.11000061035156,118.19999694824219,115.88157653808594,98400
2022-03-29,120.76000213623047,121.4800033569336,119.69999694824219,121.4800033569336,119.09724426269531,167300
2022-03-30,120.0199966430664,121.27999877929688,119.62999725341797,120.44000244140625,118.07764434814453,83500
2022-03-31,119.04000091552734,120.02999877929688,116.81999969482422,116.81999969482422,114.52864837646484,171100
2022-04-01,118.19000244140625,118.19000244140625,115.6500015258789,116.30999755859375,114.02864837646484,66800
2022-04-04,116.04000091552734,117.41999816894531,115.93000030517578,117.0999984741211,114.80315399169922,119900
2022-04-05,115.58999633789062,115.88999938964844,113.18000030517578,114.23999786376953,111.99925231933594,80200
2022-04-06,109.98999786376953,111.11000061035156,109.19000244140625,110.5199966430664,108.35221099853516,93300
2022-04-07,112.5,112.86000061035156,110.45999908447266,111.88999938964844,109.69534301757812,127300
2022-04-08,111.88999938964844,113.44999694824219,110.76000213623047,112.30999755859375,110.10710144042969,74100
2022-04-11,110.68000030517578,111.81999969482422,109.66999816894531,109.87000274658203,107.7149658203125,129000
2022-04-12,111.54000091552734,111.54000091552734,108.13999938964844,108.7300033569336,106.59732818603516,105200
2022-04-13,107.26000213623047,108.05000305175781,105.80999755859375,107.58999633789062,105.47968292236328,100100
2022-04-14,107.69000244140625,109.0199966430664,107.0,108.19000244140625,106.06791687011719,98900
2022-04-18,105.87999725341797,110.58000183105469,105.75,108.43000030517578,106.30320739746094,99600
2022-04-19,107.93000030517578,111.06999969482422,107.75,110.69999694824219,108.5286865234375,200200
2022-04-20,112.91999816894531,113.80000305175781,112.02999877929688,112.91000366210938,110.69534301757812,54000
2022-04-21,113.83999633789062,113.98999786376953,110.75,111.13999938964844,108.96005249023438,39600
2022-04-22,110.0,110.0,107.0,107.0,104.90126037597656,54000
2022-04-25,103.63999938964844,104.87000274658203,102.23999786376953,104.37000274658203,102.32284545898438,133000
2022-04-26,101.91999816894531,102.0999984741211,99.0,99.0,97.05817413330078,126200
2022-04-27,98.19000244140625,98.75,96.1500015258789,96.33000183105469,94.44054412841797,178200
2022-04-28,98.80000305175781,102.91999816894531,97.33000183105469,99.48999786376953,97.53855895996094,193300
2022-04-29,102.5199966430664,102.68000030517578,99.94000244140625,100.06999969482422,98.10718536376953,74900
2022-05-02,101.63999938964844,103.48999786376953,100.62999725341797,102.20999908447266,100.20520782470703,181800
2022-05-03,100.93000030517578,101.83000183105469,100.33000183105469,101.55000305175781,99.55815887451172,119100
2022-05-04,103.11000061035156,104.68000030517578,101.55999755859375,104.19999694824219,102.15617370605469,126600
2022-05-05,101.91000366210938,101.91999816894531,97.7300033569336,99.37000274658203,97.4209213256836,123000
2022-05-06,95.08999633789062,96.5199966430664,93.52999877929688,95.56999969482422,93.69544982910156,157300
2022-05-09,92.44999694824219,93.55000305175781,90.25,91.6500015258789,89.85234069824219,145700
